C0158266	C0011334	C0014175	C0002736	C0036421	C0392525	C0030319	C0001175	C2239176	C0079731	C0027819	C0022661	C0031099	C0002171	C0023343	C0023434	C1263846	C0014859	C0017668	C0014170	C0020676	C0011573	C0017601	C0014544	C0025202	C0004153	C0019163	C0002871	C0026769	C0004096	C0017661	C0024117	C0011615	C0005586	C0525045	C1956346	C1458155	C0684249	C0040136	C0919267	C0005695	C0007134	C2607914	C0030297	C0027022	C0030305	C0029401	C0036341	C0038356	C0027051	C0149931	C0007820	C0038013	C0003873	C0162871	C0029408	C0023473	C0019829	C0009324	C0010346	C0033860	C0027404	C0003872	C0024141	C0004763	C0008924	C0011860	C0026764	C0011854	C0034951	C1961102	C0028754	C0033578	C0007570	C0002395	C0020538	C0242383	C0007766	C0017665	C0040517	C0029456	C0016781	C0032460	C0085207	C0154778	C0022336	C0029899	C0023892	C0042900	C0018213	C0024530	C0004352	C0007193	C0149654	C0003868	C0023267	C0004943	C0026691	C0206368	C0162872	C0524620	C0004509	C0008313	C0030567	C1800706	C0035258	C0031347	C0028043	
C0028754	0.9591	0.9591	0.9591	2.0300	0.9591	0.9591	0.1460	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	1.6661	0.9591	0.9591	0.1460	0.9591	0.9591	0.9591	0.9591	-1.0000	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.1460	0.1460	0.9591	0.9591	-1.0000	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.1460	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	2.0786	0.9591	0.9591	0.9591	0.9591	2.0300	0.9591	2.0300	0.9591	0.9591	3.8840	0.9591	2.0300	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	1.6661	2.0300	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.1460	1.6661	0.1460	2.0300	0.9591	0.9591	0.9591	0.9591	0.9591	2.0300	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	-1.0000	
C0033578	0.9591	0.9591	2.4421	0.9591	0.9591	2.4452	0.1460	2.6609	2.8134	2.1064	2.1064	2.4452	0.9591	0.9591	0.9591	2.1064	0.1460	2.8134	2.4452	3.7069	0.9591	-1.0000	0.9591	0.9591	2.1064	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.1460	0.1460	0.9591	2.8134	-1.0000	2.8134	3.7069	3.7069	3.7069	0.9591	2.8134	0.9591	0.9591	0.9591	0.1460	2.8134	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	2.1064	2.1064	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	2.1064	0.9591	0.9591	2.1064	0.9591	4.5118	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	2.1064	2.4080	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.1460	0.9591	0.1460	0.9591	2.1064	0.9591	0.9591	0.9591	0.9591	0.9591	2.6609	0.9591	0.9591	0.9591	0.9591	2.8134	-1.0000	
C0007570	0.9591	0.9591	0.9591	2.0511	0.9591	0.9591	0.1460	0.9591	2.1065	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.1460	2.2475	0.9591	0.9591	0.9591	-1.0000	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.1460	0.1460	0.9591	0.9591	-1.0000	0.9591	0.9591	0.9591	0.9591	0.9591	2.1065	0.9591	2.1065	0.9591	0.1460	2.2475	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	2.7311	2.7311	0.9591	0.9591	0.9591	0.9591	2.2475	0.9591	2.0511	0.9591	2.0511	0.9591	0.9591	2.0300	0.9591	3.1327	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	2.0511	0.9591	0.9591	0.9591	2.1065	0.9591	0.9591	0.9591	0.1460	0.9591	0.1460	2.0511	0.9591	0.9591	0.9591	0.9591	0.9591	2.0511	0.9591	2.1065	0.9591	0.9591	0.9591	0.9591	-1.0000	
C0002395	0.9591	0.9591	0.9591	2.3530	0.9591	0.9591	2.7256	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	2.7256	0.9591	0.9591	0.9591	0.9591	-1.0000	0.9591	2.1144	0.9591	0.9591	0.9591	0.9591	2.1144	0.9591	0.9591	0.9591	0.9591	2.7256	2.7256	0.9591	0.9591	-1.0000	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	2.7256	0.9591	0.9591	2.1144	2.1144	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	2.7256	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	3.8788	0.9591	0.9591	2.1144	0.9591	2.3530	0.9591	0.9591	0.9591	0.9591	0.9591	3.5494	0.9591	0.9591	0.9591	0.9591	0.9591	2.7256	0.9591	2.7256	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	2.3530	0.9591	1.7801	0.9591	-1.0000	
C0020538	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.1460	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.1460	0.9591	0.9591	0.9591	0.9591	-1.0000	0.9591	0.9591	0.9591	2.2190	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.1460	0.1460	2.2190	0.9591	-1.0000	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.1460	0.9591	2.2190	0.9591	2.2190	0.9591	0.9591	2.2190	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	2.2190	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	3.4071	0.9591	2.2190	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.1460	1.7979	0.1460	0.9591	0.9591	2.2190	2.2190	0.9591	2.2190	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	-1.0000	
C0242383	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.1460	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.1460	0.9591	0.9591	0.9591	0.9591	-1.0000	2.2740	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.1460	0.1460	0.9591	0.9591	-1.0000	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.1460	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	2.2740	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	3.8818	0.9591	0.9591	0.9591	0.9591	2.2740	0.9591	0.9591	2.2740	0.9591	0.9591	0.9591	0.9591	2.2740	0.9591	0.1460	0.9591	0.1460	0.9591	0.9591	0.9591	0.9591	2.2740	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	-1.0000	
C0007766	0.9591	0.9591	0.9591	1.8800	0.9591	0.9591	0.1460	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.1460	0.9591	0.9591	0.9591	0.9591	-1.0000	0.9591	2.1144	0.9591	2.2190	0.9591	0.9591	2.1144	0.9591	0.9591	0.9591	0.9591	0.1460	0.1460	2.2190	0.9591	-1.0000	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.1460	0.9591	2.2190	2.1144	3.4717	0.9591	0.9591	3.7019	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	1.7801	0.9591	0.9591	0.9591	0.9591	0.9591	2.2190	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	2.1144	2.2190	0.9591	4.9197	0.9591	2.1144	0.9591	0.9591	0.9591	0.9591	0.9591	2.1144	0.9591	0.9591	0.9591	0.9591	0.9591	0.1460	1.7979	0.1460	0.9591	0.9591	2.2190	2.2190	0.9591	3.7019	0.9591	0.9591	0.9591	2.1144	0.9591	1.7801	0.9591	-1.0000	
C0017665	0.9591	0.9591	2.4421	0.9591	0.9591	3.3581	0.1460	1.7874	0.9591	1.7874	0.9591	3.3581	0.9591	0.9591	0.9591	1.7874	0.1460	0.9591	4.3651	0.9591	0.9591	-1.0000	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	2.6588	1.7874	4.3651	0.9591	1.7874	0.1460	0.1460	0.9591	0.9591	-1.0000	0.9591	0.9591	2.8898	3.3581	1.7874	0.9591	0.9591	0.9591	0.9591	0.1460	0.9591	0.9591	0.9591	0.9591	0.9591	2.6588	0.9591	0.9591	0.9591	1.7874	0.9591	0.9591	0.9591	0.9591	0.9591	2.6588	0.9591	0.9591	0.9591	1.7874	2.6588	0.9591	1.7874	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	5.8694	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	2.6588	0.9591	0.1460	0.9591	0.1460	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	-1.0000	
C0040517	0.9591	0.9591	0.9591	2.3530	0.9591	0.9591	2.7256	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	3.3480	0.9591	0.9591	0.9591	0.9591	-1.0000	0.9591	2.1144	0.9591	0.9591	0.9591	0.9591	2.1144	0.9591	0.9591	0.9591	1.5931	2.7256	2.7256	0.9591	0.9591	-1.0000	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	2.7256	0.9591	0.9591	2.1144	2.1144	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	2.7256	0.9591	0.9591	1.5248	1.5248	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	2.3530	0.9591	0.9591	2.1144	0.9591	4.3369	0.9591	1.5931	0.9591	0.9591	0.9591	2.3530	0.9591	0.9591	0.9591	0.9591	0.9591	3.3480	0.9591	3.3480	1.5931	0.9591	1.5931	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	3.4928	0.9591	1.7801	0.9591	-1.0000	
C0029456	3.2209	0.9591	0.9591	0.9591	0.9591	0.9591	0.1460	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.1460	0.9591	0.9591	0.9591	0.9591	-1.0000	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.1460	0.1460	0.9591	0.9591	-1.0000	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	3.2209	0.1460	0.9591	0.9591	0.9591	0.9591	1.6559	1.6559	0.9591	1.6559	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	1.6559	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	4.0270	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.1460	0.9591	0.1460	1.6559	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	-1.0000	
C0016781	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.1460	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.1460	0.9591	0.9591	0.9591	0.9591	-1.0000	2.2740	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	1.5931	0.1460	0.1460	0.9591	0.9591	-1.0000	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.1460	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	1.5248	1.5248	0.9591	0.9591	0.9591	2.2740	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	2.2740	0.9591	0.9591	1.5931	0.9591	6.5217	0.9591	0.9591	2.2740	0.9591	0.9591	0.9591	0.9591	2.2740	0.9591	0.1460	0.9591	0.1460	1.5931	0.9591	1.5931	0.9591	2.2740	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	-1.0000	
C0032460	0.9591	0.9591	2.6508	0.9591	0.9591	2.4421	0.1460	0.9591	2.1064	2.1064	2.1064	2.4421	0.9591	2.8896	0.9591	2.1064	0.1460	2.1064	2.4421	2.6508	2.4626	-1.0000	0.9591	0.9591	2.1064	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.1460	0.1460	0.9591	2.1064	-1.0000	2.4626	3.8767	2.1064	2.1064	0.9591	2.4626	0.9591	0.9591	0.9591	0.1460	2.1064	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	2.1064	2.1064	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	2.4626	2.1064	2.4626	0.9591	2.1064	1.6661	2.1064	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	4.7677	2.4626	0.9591	0.9591	0.9591	0.9591	0.9591	2.4626	0.9591	0.1460	2.8896	0.1460	0.9591	2.1064	0.9591	0.9591	0.9591	0.9591	0.9591	2.6508	0.9591	0.9591	0.9591	0.9591	2.1064	-1.0000	
C0085207	0.9591	0.9591	2.4080	2.0511	0.9591	2.4080	0.1460	0.9591	0.9591	0.9591	0.9591	2.4080	0.9591	0.9591	0.9591	0.9591	0.1460	0.9591	2.4080	2.4080	2.4626	-1.0000	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.1460	0.1460	0.9591	0.9591	-1.0000	2.4626	2.4626	2.4080	2.4080	0.9591	2.4626	0.9591	0.9591	0.9591	0.1460	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	2.8232	0.9591	2.8232	0.9591	0.9591	2.0300	2.4080	2.0511	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	2.4626	5.3029	0.9591	0.9591	0.9591	0.9591	0.9591	2.4626	0.9591	0.1460	0.9591	0.1460	2.0511	0.9591	0.9591	0.9591	0.9591	0.9591	2.0511	2.4080	0.9591	0.9591	0.9591	0.9591	0.9591	-1.0000	
C0154778	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.1460	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.1460	0.9591	0.9591	0.9591	0.9591	-1.0000	2.2740	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.1460	0.1460	0.9591	0.9591	-1.0000	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.1460	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	4.4795	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	2.2740	0.9591	0.9591	0.9591	0.9591	2.2740	0.9591	0.9591	7.0021	0.9591	0.9591	0.9591	0.9591	2.2740	0.9591	0.1460	0.9591	0.1460	0.9591	0.9591	0.9591	0.9591	2.2740	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	-1.0000	
C0022336	0.9591	0.9591	0.9591	2.3530	0.9591	0.9591	2.7256	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	2.0289	0.9591	2.7256	0.9591	0.9591	0.9591	0.9591	-1.0000	0.9591	2.1144	0.9591	0.9591	0.9591	0.9591	2.1144	0.9591	0.9591	0.9591	0.9591	2.7256	2.7256	0.9591	0.9591	-1.0000	0.9591	0.9591	0.9591	0.9591	2.0289	0.9591	0.9591	0.9591	0.9591	2.7256	0.9591	0.9591	2.1144	2.1144	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	2.7256	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	3.5494	0.9591	0.9591	2.1144	0.9591	2.3530	0.9591	0.9591	0.9591	0.9591	0.9591	5.2835	0.9591	0.9591	0.9591	0.9591	0.9591	2.7256	0.9591	2.7256	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	2.3530	0.9591	1.7801	0.9591	-1.0000	
C0029899	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.1460	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.1460	0.9591	0.9591	0.9591	0.9591	-1.0000	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.1460	0.1460	0.9591	0.9591	-1.0000	0.9591	0.9591	0.9591	0.9591	3.2733	0.9591	0.9591	0.9591	0.9591	0.1460	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	5.3896	0.9591	0.9591	0.9591	0.9591	0.1460	0.9591	0.1460	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	3.2733	-1.0000	
C0023892	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.1460	0.9591	2.7699	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.1460	2.1065	0.9591	0.9591	0.9591	-1.0000	0.9591	0.9591	0.9591	0.9591	2.7699	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.1460	0.1460	0.9591	0.9591	-1.0000	0.9591	0.9591	0.9591	0.9591	0.9591	2.1065	0.9591	2.1065	0.9591	0.1460	2.1065	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	2.1065	2.1065	0.9591	0.9591	0.9591	0.9591	2.1065	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	2.1065	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	5.2762	0.9591	0.9591	0.9591	0.1460	0.9591	0.1460	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	4.2400	0.9591	0.9591	0.9591	0.9591	-1.0000	
C0042900	0.9591	0.9591	0.9591	0.9591	2.2481	0.9591	0.1460	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	2.2481	0.9591	0.9591	0.1460	0.9591	0.9591	0.9591	0.9591	-1.0000	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	2.2481	0.1460	0.1460	0.9591	2.2481	-1.0000	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.1460	0.9591	0.9591	0.9591	0.9591	0.9591	1.5718	0.9591	1.5718	0.9591	0.9591	0.9591	0.9591	2.2481	0.9591	2.2481	1.5718	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	5.2697	0.9591	0.9591	0.1460	0.9591	0.1460	1.5718	0.9591	2.2481	2.2481	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	-1.0000	
C0018213	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.1460	1.7874	0.9591	1.7874	0.9591	0.9591	0.9591	0.9591	0.9591	1.7874	0.1460	0.9591	0.9591	0.9591	3.3228	-1.0000	2.2740	0.9591	0.9591	0.9591	0.9591	0.9591	2.6588	1.7874	2.6588	0.9591	1.7874	0.1460	0.1460	0.9591	0.9591	-1.0000	3.3228	2.4626	0.9591	0.9591	1.7874	2.4626	0.9591	0.9591	0.9591	0.1460	0.9591	0.9591	0.9591	0.9591	0.9591	2.6588	0.9591	0.9591	0.9591	1.7874	0.9591	0.9591	0.9591	0.9591	0.9591	2.6588	0.9591	0.9591	2.4626	1.7874	2.6588	2.2740	1.7874	0.9591	0.9591	0.9591	0.9591	0.9591	2.2740	0.9591	2.6588	0.9591	0.9591	2.2740	2.4626	2.4626	2.2740	0.9591	0.9591	0.9591	0.9591	4.6627	0.9591	0.1460	0.9591	0.1460	0.9591	0.9591	0.9591	0.9591	2.2740	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	-1.0000	
C0024530	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.1460	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.1460	0.9591	0.9591	0.9591	0.9591	-1.0000	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.1460	0.1460	0.9591	0.9591	-1.0000	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.1460	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	4.1354	0.1460	0.9591	0.1460	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	-1.0000	
C0004352	0.1460	0.1460	0.1460	0.1460	0.1460	0.1460	2.7256	0.1460	0.1460	0.1460	0.1460	0.1460	0.1460	0.1460	0.1460	0.1460	3.3480	0.1460	0.1460	0.1460	0.1460	-1.0000	0.1460	0.1460	0.1460	0.1460	0.1460	0.1460	0.1460	0.1460	0.1460	0.1460	0.1460	2.7256	2.7256	0.1460	0.1460	-1.0000	0.1460	0.1460	0.1460	0.1460	0.1460	0.1460	0.1460	0.1460	0.1460	2.7256	0.1460	0.1460	0.1460	0.1460	0.1460	0.1460	0.1460	0.1460	0.1460	0.1460	0.1460	0.1460	0.1460	2.7256	0.1460	0.1460	0.1460	0.1460	0.1460	0.1460	0.1460	0.1460	0.1460	0.1460	0.1460	0.1460	2.7256	0.1460	0.1460	0.1460	0.1460	3.3480	0.1460	0.1460	0.1460	0.1460	0.1460	2.7256	0.1460	0.1460	0.1460	0.1460	0.1460	4.8359	0.1460	3.3480	0.1460	0.1460	0.1460	0.1460	0.1460	0.1460	0.1460	0.1460	0.1460	0.1460	0.1460	2.7256	0.1460	-1.0000	
C0007193	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.1460	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	2.8896	0.9591	0.9591	0.1460	0.9591	0.9591	0.9591	0.9591	-1.0000	0.9591	0.9591	0.9591	1.7979	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.1460	0.1460	1.9894	0.9591	-1.0000	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.1460	0.9591	1.9894	0.9591	1.7979	0.9591	0.9591	1.7979	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	1.7979	0.9591	0.9591	0.9591	1.6661	0.9591	0.9591	0.9591	1.7979	0.9591	1.7979	0.9591	0.9591	0.9591	0.9591	2.8896	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.1460	5.1019	0.1460	0.9591	0.9591	1.7979	1.7979	0.9591	1.7979	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	-1.0000	
C0149654	0.1460	0.1460	0.1460	0.1460	0.1460	0.1460	2.7256	0.1460	0.1460	0.1460	0.1460	0.1460	0.1460	0.1460	0.1460	0.1460	4.6866	0.1460	0.1460	0.1460	0.1460	-1.0000	0.1460	0.1460	0.1460	0.1460	0.1460	0.1460	0.1460	0.1460	0.1460	0.1460	0.1460	2.7256	2.7256	0.1460	0.1460	-1.0000	0.1460	0.1460	0.1460	0.1460	0.1460	0.1460	0.1460	0.1460	0.1460	2.7256	0.1460	0.1460	0.1460	0.1460	0.1460	0.1460	0.1460	0.1460	0.1460	0.1460	0.1460	0.1460	0.1460	2.7256	0.1460	0.1460	0.1460	0.1460	0.1460	0.1460	0.1460	0.1460	0.1460	0.1460	0.1460	0.1460	2.7256	0.1460	0.1460	0.1460	0.1460	3.3480	0.1460	0.1460	0.1460	0.1460	0.1460	2.7256	0.1460	0.1460	0.1460	0.1460	0.1460	3.3480	0.1460	5.6029	0.1460	0.1460	0.1460	0.1460	0.1460	0.1460	0.1460	0.1460	0.1460	0.1460	0.1460	2.7256	0.1460	-1.0000	
C0003868	1.6559	0.9591	0.9591	2.0511	1.6653	0.9591	0.1460	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.1460	0.9591	0.9591	0.9591	0.9591	-1.0000	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	1.5931	0.1460	0.1460	0.9591	1.5718	-1.0000	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	1.6559	0.1460	0.9591	0.9591	0.9591	0.9591	1.6825	1.6851	0.9591	1.6851	0.9591	0.9591	0.9591	0.9591	1.5718	0.9591	1.6825	1.6653	0.9591	0.9591	2.0511	0.9591	2.0511	0.9591	0.9591	2.0300	0.9591	2.0511	0.9591	0.9591	0.9591	0.9591	0.9591	1.5931	1.6559	1.5931	0.9591	2.0511	0.9591	0.9591	0.9591	0.9591	1.5718	0.9591	0.9591	0.1460	0.9591	0.1460	6.2988	0.9591	1.5931	1.5718	0.9591	0.9591	2.0511	0.9591	0.9591	0.9591	0.9591	0.9591	0.9591	-1.0000	
